r_key,end_lat,end_lon,end_lat_pre,end_lon_pre
SDK-XJ_12fd11e7cbeda81ff1df705005de5058,43.931519,125.368019,43.895,125.257
SDK-XJ_124b5f09d7bd7e00fd9895b990aeb8ff,43.953395,125.308788,44.008,125.242
SDK-XJ_b4ac0943b5f631aeefde5deb3b82da4b,43.853445,125.345009,43.853,125.345
SDK-XJ_c705107469946955e4846db4f1447654,43.953405,125.308735,43.956,125.306
SDK-XJ_a888d448ff7725e44934e22fa8cecd56,43.882916,125.271401,43.887,125.272
SDK-XJ_4b0faf79fa90623f1567d715af5582ac,43.886541,125.27202,43.885,125.269
SDK-XJ_4ecab29c514f131fa196b4e8da988dd2,43.913579,125.32118,43.887,125.272
SDK-XJ_ed45841ff14e2e0c96949351e198c1fd,43.882087,125.270258,43.877,125.324
SDK-XJ_059025bc7c4478a6d254c9cf91b39ac1,43.885065,125.275361,43.905,125.332
SDK-XJ_3a2f3e2585750656149f028d9bb6438d,43.882082,125.268824,43.882,125.27
SDK-XJ_9dd9df5f0d100d1aca03c68dfb041b09,43.882735,125.269516,43.882,125.269
SDK-XJ_a02a6ff199b9f282f046a8ae43073be9,43.886741,125.272869,43.867,125.296
SDK-XJ_21e54e943c1ec177e7509b5d597bc2c0,43.882023,125.269403,43.886,125.333
SDK-XJ_acc52e45efaa1bf20d397c72ef54edf2,43.885286,125.277245,43.885,125.276
SDK-XJ_50eb0d0b6ab2338096eb2ede05d82695,43.884799,125.268817,43.882,125.269
SDK-XJ_c621148531c7d674815d23839592ca89,43.812781,125.22733999999998,43.794,125.298
SDK-XJ_923c1926105b45d968f549cd7d416eae,43.806828,125.259717,43.832,125.289
SDK-XJ_4df12b02b07f2bc42a5ac39c56a347ef,43.806913,125.25572,43.813,125.256
SDK-XJ_46077eff214e0d47523c13ddcf0f76cf,43.860489,125.28469,43.859,125.283
SDK-XJ_bcace96b38085d494fef1a54e9dd77c9,43.867293,125.376245,43.828,125.291
SDK-XJ_7cf06facf13edfcc13e677f6296c5502,43.801491,125.295696,43.909,125.336
SDK-XJ_165d97944762e1c765e73020a250ac9b,43.816803,125.219817,43.821,125.25
SDK-XJ_0d18c867aa3968c25d268e0eeee96e44,43.828041,125.29053799999998,43.828,125.291
SDK-XJ_baa50cc0b254ed9c883aa298bcfa0a81,43.80683300000001,125.257188,43.796,125.294
SDK-XJ_d6de822e67ab16e450d221fc4b79be97,25.915438,105.434795,25.507,103.773
SDK-XJ_9509f8c0adac9de4422ee97a338609f4,23.751566,103.802354,26.767,106.437
SDK-XJ_bf07b2398955dc173204e2ceac1bfa6a,25.67512300000001,104.251701,25.507,103.773
SDK-XJ_4e508d908a25c150fd95490af7ab4f54,36.742498,119.147062,33.709,118.981
SDK-XJ_4a5af68f992b78591f5926a455dcd830,24.357832,102.528935,24.358,102.529
SDK-XJ_3a038a71ac62b24a60c4a7b3c3e795b7,24.357892,102.528951,24.358,102.529
SDK-XJ_0e45a43f7256ad3feaabc5d26363e572,24.357909,102.528829,24.358,102.529
SDK-XJ_a0b483eec71f171902648c7331d9425c,24.357898,102.528921,24.358,102.529
SDK-XJ_f91655b7536e9979a3f27ede37f1506c,24.35786,102.528886,24.358,102.529
SDK-XJ_c53625c2750a65b67bc0b9e448fe28b7,31.350275,120.560713,31.35,120.561
SDK-XJ_ab15cd1d12b8b6ae7f3c254a105d6e00,31.349664,120.561064,31.35,120.561
SDK-XJ_3de5daf4fac9cb0c95a0e8cb2b54a197,31.350348,120.560922,31.35,120.561
SDK-XJ_6c920d353f7fcae59633ea5e2524ee61,31.350127,120.561053,31.35,120.561
SDK-XJ_4cc52da82ca5a918cd9539efc5e5320a,31.35005,120.560998,31.35,120.561
SDK-XJ_23ae1e306723bd4e4a8ef4e71123e50d,31.350095,120.561143,31.35,120.561
SDK-XJ_71c1d8cb1caad96c455bff655a2d2834,31.350157,120.561121,31.35,120.561
SDK-XJ_61ac3a41c7a128344a66cbb8eb73bdf5,25.076977,121.570272,25.077,121.57
SDK-XJ_05482b0825b0ecd7a68e860f3f519f34,25.173824,121.446588,25.176,121.454
SDK-XJ_9703a0057d2b82d7d4b775b2cc5ec27b,24.107899,120.470981,24.108,120.471
SDK-XJ_c0aa25fad25a5c1fdb5c4a4e392f8a99,25.077318,121.568959,25.077,121.571
SDK-XJ_7d20ca1883ec4794c2037d0df7e34580,25.04011400000001,121.529018,25.175,121.454
SDK-XJ_113d2efc07f4b8758bd03bb48c0a93ec,22.652017,113.91648,22.652,113.917
SDK-XJ_e005e72468ef6b5e3484a8b165d95150,22.652334,113.916498,22.652,113.917
SDK-XJ_54bb41be91e2cb9462b863e79121113b,22.651877,113.91642,22.652,113.917
SDK-XJ_e4c6e6c7781c3b1996ce49d04dd8825d,22.539413,113.957552,22.653,113.916
SDK-XJ_41a4f475db986d59669b6b390c95cceb,22.651951,113.916278,22.65,113.917
SDK-XJ_108c9bc3df4eb4430b32636814d9a4b9,22.685684,113.781746,22.686,113.783
SDK-XJ_f70f1128da442ac3f5cc1ec0a635bef8,22.652118,113.916465,22.651,113.917
SDK-XJ_5f51ce71796d8984bb3538981c58cd2c,22.684969,113.781654,22.686,113.782
SDK-XJ_c1a6570563ccfea3e6de9b0bea272789,22.685756,113.783171,22.686,113.783
SDK-XJ_4fd20c439f01180e086da75aec9e29eb,22.685804,113.783102,22.686,113.783
SDK-XJ_f2c6be1d3ff5b6bf1e7573493b495c39,22.685877,113.78199,22.686,113.783
SDK-XJ_5f0b1244e9391cdb5240c50898b68535,22.685856,113.783096,22.686,113.783
SDK-XJ_5dac8a5a9670efee0e780ff59d49e7bc,22.652128,113.916559,22.652,113.916
SDK-XJ_110813945818eeefe2b9d8b1130e9d87,22.651557,113.916576,22.652,113.916
SDK-XJ_ca7a8b76291406e28482655b030f0af0,23.568395,116.43666100000002,23.569,116.437
SDK-XJ_7793bcf7a85df637d9fddbe1e7404a34,23.568735,116.43621,23.569,116.436
SDK-XJ_fdba056e249d592f10c2d15ba890fd93,23.350776,116.172185,23.552,116.381
SDK-XJ_3c5383dc69e99d9911b7465e5ee9d0a7,23.376564,116.711977,23.377,116.712
SDK-XJ_0405bdf8370d08de098fa06c12a73f19,22.946105,115.111664,23.27,114.098
SDK-XJ_53968d38916eef79703641a604686bb9,23.571401,116.405399,23.372,116.714
SDK-XJ_c6a32fd9b43eb8448c8e625bb6b18628,23.568383,116.436654,23.569,116.436
SDK-XJ_a60e7d7ca8cef946c064f363d632cecd,22.818705,114.460121,23.154,115.548
SDK-XJ_3786c2bb5f2cd4a6b41cc2d415d95aac,23.568747,116.436515,23.569,116.436
SDK-XJ_8ae9c88f13a3929f550578fea4dcfd8e,23.561133,116.445777,23.376,116.712
SDK-XJ_b32ca812ef3db0e04e3f6544499bbc66,23.37674800000001,116.712404,23.377,116.712
SDK-XJ_6353e037717820557aedc44316d7e8d9,23.568378,116.436693,23.564,116.361
SDK-XJ_65d0eec5eb84449cd2f7dd6bffa78f17,23.376764,116.712259,23.377,116.712
SDK-XJ_67eaa706a39676b2b708be7d14dcab8a,23.56872000000001,116.436207,23.569,116.436
SDK-XJ_a9227879cba0c284f5365b41d851045f,39.810377,97.561903,39.958,97.434
SDK-XJ_ad818d99b39c28e79cac7b797042b0c7,39.810331,97.561868,39.811,97.562
SDK-XJ_fb637990fcb402d281b0bdb0667a2bf8,39.722626,98.487148,39.734,98.487
SDK-XJ_e6d94526d50d3cc6a2b147f0b9ec3b3d,39.73144600000001,98.500847,39.732,98.485
SDK-XJ_afdf023b2010c225ecfac0b31d853e80,39.96616,97.434006,39.811,97.56
SDK-XJ_e02fa8c104591886ce1d3b3300707bd1,25.805493,106.78085,25.805,106.781
SDK-XJ_f38ab5cae4f7a38c3b3b2c85302866ff,25.805418,106.781006,26.399,106.622
SDK-XJ_499e0ebc092218f32f04b9f0a4f4904a,25.805537,106.780899,26.134,106.655
SDK-XJ_6206e1df1a57dbfad21142fe09fd7942,25.789849,106.700343,26.131,106.65
SDK-XJ_3c59166b086cb1b07719fb4af3849dda,25.805552,106.78089,26.134,106.655
SDK-XJ_24ac9355762082475583ecb7ed531d78,25.789902,106.700334,26.148,106.666
SDK-XJ_9c8d1451e01007443f9b1414ddd11733,25.83587600000001,106.624609,26.134,106.655
SDK-XJ_fe9b904b62c453b77ddea4de944573e4,25.789383,106.700784,26.148,106.666
SDK-XJ_56d4cb0aec88a969df5aeb00ad9bd491,25.805569,106.780884,26.134,106.655
SDK-XJ_62c7aecad9635ea6385202148a08085d,25.805207,106.780837,26.134,106.655
SDK-XJ_c44df12c08246c570974869f08b58318,25.796906,106.800421,26.134,106.655
SDK-XJ_83f8220ec61aa25a4fe9cbb8535a4749,25.789831,106.700314,26.148,106.666
SDK-XJ_9adafc6a04f17af7b086bd47728898f1,25.790305,106.700265,26.131,106.65
SDK-XJ_bad390bfb5a936213053ef3790e4d324,22.766669,112.582165,22.954,113.103
SDK-XJ_f76476f8db64eb5e56c588683a0c611d,22.954851,113.089997,22.954,113.091
SDK-XJ_717f080cd0c03ce5526b51e0346ea117,22.918461,113.087944,22.999,113.112
SDK-XJ_f425d776d6a8c1fc1ababdff73a0a48c,21.267128,110.329021,22.715,113.285
SDK-XJ_dabc3a4eab027eff43e48302f236cb8e,22.51546,113.37516399999998,22.695,113.298
SDK-XJ_62a7ec9c3f19905dc975b61d05f784af,21.267107,110.328896,22.601,113.311
SDK-XJ_6410a9269f56ea1bbfa96493617376f8,22.694716,113.298369,22.695,113.298
SDK-XJ_7eeac9d924df7b24d8f1227a2a385b74,22.712315,113.289646,22.697,113.298
SDK-XJ_cfa9b64e9fd266b8a3e168f3fa61495b,21.386798,110.387092,21.69,111.489
SDK-XJ_447c4995fc051368e3ddb6296a165307,22.706107,113.295639,22.695,113.298
SDK-XJ_4724fe47f8eb8d41842b1ebfefe4b147,21.275676,110.390057,21.276,110.389
SDK-XJ_6fe52c8d255d18fc3170fab0c5829a8f,22.452595,112.684381,21.267,110.329
SDK-XJ_dd1a0542ec781fe4afc26ed6e4a75f7a,21.276325,110.38996000000002,21.276,110.389
SDK-XJ_0f0d01994a4412513450d7a86911352d,21.897234,111.925064,22.45,112.682
SDK-XJ_553c89dfbcf322fb0b11691e7fbb1124,24.683365,102.160779,24.667,102.152
SDK-XJ_dd3dda06749f4fe3a3bcac789c3e1299,24.611149,102.18303,24.612,102.183
SDK-XJ_59fa70d18ceff1b3da1d53df9e6ef15c,24.611498,102.183212,24.612,102.183
SDK-XJ_a31d9b9c8db46fd7b803fbb9876eaa32,24.610845,102.183716,24.611,102.186
SDK-XJ_577aa281332ebcc525f7840a42cf4e2d,24.611493,102.183254,24.612,102.183
SDK-XJ_64d43a883f43f6e9b0fbf55f30f2acda,24.66507,102.16483,24.668,102.154
SDK-XJ_3ca20741d837df1733a11a0acc42e7d9,24.611504,102.18321,24.61,102.184
SDK-XJ_feb7b21e2055c5f7fecab4c2d5ab56a1,24.677253,102.167892,24.667,102.171
SDK-XJ_0454604cf8a36163746c7686de5143eb,24.666765,102.171057,24.667,102.171
SDK-XJ_8d2ae04f0ed95ce705bb49947a0c2365,22.869996,108.376397,22.867,108.374
SDK-XJ_b36e59754ed0f666ad99f95be4624924,22.790474,108.31183,22.87,108.377
SDK-XJ_7047c1e789f7fab3fcd5b181477dc71a,22.775305,108.327292,22.773,108.322
SDK-XJ_07f1b25185f6c136b2fb3d1ca60c7ac1,22.868384,108.374981,22.87,108.377
SDK-XJ_c9f29b0c11baec6d0e64df0b2bed9c1c,22.773695,108.32025,22.856,108.362
SDK-XJ_c3f128b5c6168d6de39174a9f960789b,22.868269,108.375111,22.867,108.374
SDK-XJ_5d56243ad93b304db0d88c4913bc251a,22.867036,108.372106,22.864,108.366
SDK-XJ_de18dd48bf763a2fc4ba11a5cba820d4,22.774165,108.320506,22.863,108.376
SDK-XJ_3b0ebd727fbee56029405ec3fe189d99,22.772787,108.32183,22.773,108.316
SDK-XJ_4f6cdb9155f442a858f4e3f0cfb4ad5c,22.781599,108.320226,22.773,108.324
SDK-XJ_05ae4e9f6c017d9a2f222456cb2b326d,22.855946,108.368637,22.87,108.377
SDK-XJ_89aca9179caf478f52aaba7682e8248d,22.868614,108.375249,22.87,108.377
SDK-XJ_b86dc652a447e07ae535d35dddc15665,22.790681,108.345857,22.815,108.386
SDK-XJ_09900981e273794f962312f76398dc53,22.771014,108.316643,22.87,108.377
SDK-XJ_ad14ae47748478fbed76549843a96f3b,23.350847,103.392706,23.402,103.373
SDK-XJ_1162841b9cd9eda9b46591d100221601,23.346072,103.387823,23.38,103.371
SDK-XJ_6f4ae793f8cb26ee7e895343d3a1f537,23.372159,103.373845,23.367,103.352
SDK-XJ_39a6e077c3e1966945b6704cefecd44b,23.359832,103.360919,23.38,103.371
SDK-XJ_b6ef1f872099ec7327a0358697d42e4b,23.366233,103.386269,23.377,103.348
SDK-XJ_53427e3bd261fbc748d7006bbb7ed70d,23.359655,103.396926,23.38,103.371
SDK-XJ_5effbfaaa35f568cfd71b32fe67bcf51,23.379396,103.367556,23.377,103.348
SDK-XJ_b18c01b85b85bbaabc327c94b19fd179,37.696548,106.514655,37.697,106.515
SDK-XJ_cfca6c2a54ce51bb075c0282bae3ce30,37.696494,106.514621,37.697,106.514
SDK-XJ_3e0c1f128b8c7504c839f227697bbaf4,37.989365,106.203243,37.697,106.514
SDK-XJ_c0292401207934e85195f4c811abbbd4,37.69658,106.514644,37.697,106.514
SDK-XJ_5d8ed1748249e40f885af309ccee0a20,37.700217,106.513438,37.7,106.513
SDK-XJ_e36cdb82ffcc39abe43eb942e339f478,37.695986,106.514013,37.697,106.515
SDK-XJ_d0c8c7c7bbc5c54a4d0cd51d7ce4ca03,37.696495,106.514641,37.697,106.515
SDK-XJ_d4a2d997e5efe475b72202bf640a689b,37.69665,106.514531,37.697,106.515
SDK-XJ_2b35f3ad96fabcba3a3ac2d15e5ed951,37.985447,106.198182,37.992,106.203
SDK-XJ_9c1f56a59fd582644088cac01c2f4155,37.700069,106.513308,37.7,106.513
SDK-XJ_b49e0c2920a0df3e26d8123352e18725,37.696552,106.51457,37.697,106.514
SDK-XJ_f35791abea4431188df7a097a8306361,37.696574,106.514594,37.696,106.515
SDK-XJ_1cdb7e4a49474a4d205aface63b7e345,37.700129,106.513457,37.7,106.514
SDK-XJ_4009b387ad72ad1af940117e11885dbc,37.457984,106.669957,37.984,106.197
SDK-XJ_5ad767fb79ac0f6dbebdb5dbd145df2e,37.700017,106.513295,37.7,106.514
SDK-XJ_cb9f89ff8c3e7b3e471413e626698f1f,37.700035,106.513373,37.7,106.514
SDK-XJ_14b3a625f9df635bf42094a64c94c3a3,37.984291,106.197327,37.697,106.514
SDK-XJ_4f8c698384c1f1c46454fa8fde606eb0,37.700074,106.513269,37.7,106.514
SDK-XJ_770116a3d1349448d2cff825b201d726,25.713526,101.323435,25.714,101.324
SDK-XJ_2e445d49b63fedc7ffbce788adffe0ee,25.713659,101.323773,25.714,101.324
SDK-XJ_e422eabfdf2b9ff5bc16353c42bdb308,25.713593,101.323555,25.714,101.324
SDK-XJ_c1ae6bf785c0d79e92dc469d70d73057,25.713607,101.323712,25.714,101.324
SDK-XJ_581e8243bf4244f00332f9a4e31fb13d,25.713716,101.323589,25.714,101.324
SDK-XJ_461fc66c662d81a1d0fffe91b2624291,25.713581,101.323598,25.714,101.324
SDK-XJ_8a57161c21e0a498daf93d438eb13a32,25.717638,101.318845,25.714,101.324
SDK-XJ_a1e3774d13781893ceb55d5740dae112,21.445094,109.128351,21.471,109.151
SDK-XJ_7d77fd62bf57699eb4e73bb235bca5fd,21.453325,109.122406,21.475,109.169
SDK-XJ_2abedaf34714e5d5a1091f7d56e78279,21.446371,109.132975,21.471,109.112
SDK-XJ_0e7e076d2833627549835e242c6f0ec2,25.82407000000001,100.575419,25.824,100.576
SDK-XJ_cdb7c2ec83131bf1a3fdb8659fafe579,25.82716,100.57505,25.827,100.575
SDK-XJ_b2b3351e7c965ea089cf2f6b4fce9800,25.025571,102.726514,24.95,102.555
SDK-XJ_33a66d25ce0e534408f5533b36443fb6,25.023563,102.729629,25.824,100.576
SDK-XJ_21cf8bb9e9251617879b69f359393b06,25.827161,100.57503,25.824,100.576
SDK-XJ_9cde2224077a105f9c4d83964eeae2bb,43.966436,87.55561,43.973,87.584
SDK-XJ_b9e078a5f1e5df03b954069cf1127c25,43.967783,87.555397,43.982,87.509
SDK-XJ_378c33e21a7f931a46eab455568e5e79,43.813198,87.994045,43.966,87.556
SDK-XJ_0c6e0f9b429bbfefe5471325d9c92f60,43.827934,87.96163,43.964,87.652
SDK-XJ_2a954a2bee87d8e9a9e20ccfebf4d071,43.96657800000001,87.555634,43.972,87.577
SDK-XJ_ca0d93dd2bc004b826c941b3deaf5b02,43.970761,87.554666,43.945,87.59
SDK-XJ_e961cfd35d84c0f884f7724ab02ecd98,43.981458,87.499912,43.967,87.556
SDK-XJ_d318d0edaf96186637890de63f36069a,43.910024,87.884774,43.966,87.556
SDK-XJ_6992740d3e02056332486c4745763d76,43.947832,87.590932,43.948,87.588
SDK-XJ_2985a8c3596045c54f38cf909120c23d,43.945825,87.590395,43.946,87.591
SDK-XJ_11e73e496a4a4f8dea4a15c63afb63f1,24.989284,102.760059,24.99,102.76
SDK-XJ_80271dc152f6dab2dfca2df9bc9c8727,27.726921,109.179051,27.941,108.257
SDK-XJ_5d3ff4d7aaec2b36836a53d45b36423f,27.796968,109.269387,27.796,108.213
SDK-XJ_ed5fcad6bb2067d5b84beb614f4a24a9,27.874132,108.101836,27.934,108.252
SDK-XJ_9b13788a7275492209f8308dbf209bab,23.165118,113.158179,23.124,113.178
SDK-XJ_728a763ab1259834305237b51acef85a,23.163689,113.157716,23.164,113.158
SDK-XJ_5ae998cba8b417e6a8e457047cffa4b8,23.124328,113.17792,23.124,113.178
SDK-XJ_70f97645804423997557f9f349801fde,23.164478,113.15834,23.164,113.158
SDK-XJ_86da0e6fc718189f2a7f8da31135e50f,23.124285,113.177927,23.124,113.178
SDK-XJ_2a896f495cc99d22940e6964eb0b0884,23.124281,113.177903,23.124,113.178
SDK-XJ_4f293e26958e7065ac3dbad417260498,23.124304,113.177921,23.124,113.178
SDK-XJ_7688c59611dcb6c40219260cfe794211,23.257337,113.13069,23.131,113.178
SDK-XJ_1e76c22a24d222407fa994b1ed2f60d2,23.163619,113.157642,23.164,113.158
SDK-XJ_5b0cd8975673f91ee397276c0f2036a5,23.163568,113.157463,23.164,113.158
SDK-XJ_80aed08d0dcb2e3986a6c08867758077,23.124288,113.177925,23.124,113.178
SDK-XJ_d3f84f3b9fc4f378c55956af4d5127d5,23.163651,113.157752,23.165,113.158
SDK-XJ_1e66f964fbfab1f311423111c9878cba,23.124951,113.178116,23.124,113.178
SDK-XJ_3e878fbef725732c1b4f4c5730b0e19b,23.125004,113.178095,23.124,113.178
SDK-XJ_a540e3d19b05d1f235a7e8aa735962a0,23.163622,113.157672,23.164,113.158
SDK-XJ_32f5f7e04e3c6e49d7d5924057df605f,23.124328,113.177895,23.124,113.178
SDK-XJ_b7cfc6a47379a0bb66c2db22518864fa,44.31511,86.03619300000004,44.315,86.035
SDK-XJ_eb0c119dcebafa5f9537790177307ac7,44.301507,86.029556,44.292,86.045
SDK-XJ_9ee79fbe7e2f9d36e5a22f8685a85f75,44.28363,86.046788,44.855,86.309
SDK-XJ_c2c54e9cae34544c4358e96d56e6b8f5,44.855168,86.308426,44.309,86.04
SDK-XJ_80e647f0eac145fb5d579d05735ec609,44.288878,86.035764,44.307,86.084
SDK-XJ_f71ec4707d57add28498beffb8743fa1,44.855956,86.308413,44.286,86.047
SDK-XJ_68db3707e4572d6b04e2ae0a174d07c0,44.313499,86.09559,44.307,86.084
SDK-XJ_11c2fbd34449000b33c39d96d3c57c49,29.290972,120.201545,29.286,120.215
SDK-XJ_ef008ce02c37481be9a743ac658759fd,29.296044,120.196517,29.3,120.195
SDK-XJ_0a3b0e94af5a493b786799ac48cfc435,29.29881,120.195014,29.3,120.195
SDK-XJ_f3c67d310be63c43aa2bcf312c4db0fb,29.288744,120.222671,29.286,120.215
SDK-XJ_c046e6e2a512cf6c5b1b1d5231797729,29.286363,120.215129,29.286,120.215
SDK-XJ_12578816dc18afa241df06305d60b0f6,29.288933,120.204298,29.286,120.215
SDK-XJ_252e25ab5efaabcc1d8a54d657529f2c,29.290337,120.213603,29.286,120.215
SDK-XJ_3c8788b3bcc67a3ced5a0bf64fbd2386,29.286314,120.215134,29.286,120.215
SDK-XJ_611442d86f4b27bb662f905a727b06b3,29.286305,120.215189,29.286,120.215
SDK-XJ_71667f80e16a8bea39b5b1e7f0a77a06,29.286343,120.214917,29.286,120.215
SDK-XJ_5e98136dcd7795920e5cb7f7f3bdad86,29.286305,120.215184,29.286,120.215
SDK-XJ_2b2ae25e7eae1cab1acc8a07db9a1cde,29.285129,120.217228,29.286,120.215
SDK-XJ_576b2c941fbd597d8fa6c609ed84b81e,29.29974600000001,120.19515,29.3,120.195
SDK-XJ_a45701432f3a4a342714c4da4d17130d,29.28627800000001,120.215198,29.286,120.215
SDK-XJ_4a5da292bd606a935d0d50046905d7d8,29.256951,120.239662,29.3,120.195
SDK-XJ_a78bad23b3acea628e245fc132776230,29.29121,120.201417,29.3,120.195
SDK-XJ_b2fea7328519e9eea25e156c7bff265f,29.286304,120.21516,29.286,120.215
SDK-XJ_311ef4a279512d58287fd5b3c8a21ef7,29.287907,120.217584,29.286,120.215
SDK-XJ_48660a3980c6aa8c9a0c31c0f028585a,29.285389,120.215675,29.286,120.215
SDK-XJ_cfd8337a555872ba9ff4c80a5acc1020,29.28629,120.21523,29.286,120.215
SDK-XJ_cb742bbbdd2df3ca7edb96f0caeb23c4,29.255591,120.241021,29.286,120.215
SDK-XJ_15af5d99515060ee6f4eb3684bec3b51,29.286322,120.215129,29.286,120.215
SDK-XJ_2a1950cf2f0efb1d9a9f15fc74a0434c,26.55472,106.678766,26.555,106.679
SDK-XJ_1ca9f59b1ce97a6b42e9adb57cd673f8,26.592793,106.712383,26.594,106.713
SDK-XJ_f79e40ca0b98b3d8efccc75736fc131a,26.541472,106.798771,26.595,106.713
SDK-XJ_acc478bdc806128376ccc326964f9e52,26.554891,106.67838799999998,26.556,106.74
SDK-XJ_77625a890f690eba11d0d0f169d68809,26.554474,106.671235,26.613,106.712
SDK-XJ_bef27a95e1ac0d900be012c9a4475e67,26.514908,106.722606,26.546,106.737
SDK-XJ_926ddfecdb1e684ce29ef7007a1cc7c0,26.555484000000003,106.669812,26.589,106.712
SDK-XJ_d0d6e378dd30d5cd89c288a001fa0a63,26.580807,106.718137,26.555,106.679
SDK-XJ_53abaf3f4f3cf460edaa945f0f034b46,26.525772,106.703123,26.563,106.701
SDK-XJ_f04e319a47523c8529e583c81462034e,26.587811,106.683136,26.593,106.712
SDK-XJ_d199ea14e7dcdd8935374a56bb2f7cc4,26.512853000000003,106.720907,26.594,106.713
SDK-XJ_b0f0d49dace5cc13a55ae6d141e1a704,26.55787,106.739466,26.898,106.793
SDK-XJ_1451fe4ebfa6ecf79bc88ec126d3697f,26.558887,106.739189,26.563,106.722
SDK-XJ_88d08cc5029ad38bf92ff6ec735bf0e9,26.593358,106.712479,26.593,106.713
SDK-XJ_3bebdc9a800e18708abf32b1407aa6cc,26.658083,102.434298,26.607,102.524
SDK-XJ_fcbba371d4b1e1c7837b5a4ebcb928bd,26.623074,102.568189,26.664,102.425
SDK-XJ_64546d631417ba1e725dd15aa098d193,26.649022,102.461654,26.664,102.425
SDK-XJ_43f26daa6bf18f9a3988d0348e8a0e71,29.36365300000001,113.174723,29.325,113.243
SDK-XJ_11aa035e4c2e1ec9856e5ab6a931c775,29.375374,113.183532,29.383,113.185
SDK-XJ_f933c50cd7db1d849f958e27dd66887a,29.332179,113.233998,29.379,113.125
SDK-XJ_87abc7fcdb01fdbac264b48cbfb44821,29.365935,113.177348,29.383,113.185
SDK-XJ_98b4bc39596a5f3be6a570b0553616ca,29.372676,113.125499,29.326,113.239
SDK-XJ_d799544945b220cba10278c99b74af83,29.363355,113.177186,29.333,113.233
SDK-XJ_bf0964b9b5304f2bed6f88d8a8dea299,29.369757,113.092884,29.352,113.169
SDK-XJ_24ac9b3f233e61808d456742ef9da7b8,29.381464,113.184332,29.365,113.176
SDK-XJ_23838e20c8a7fbd13a33f9f800fc189c,29.325907,113.241473,29.364,113.176
SDK-XJ_2b9566363adcd548f26131546a67c364,29.35822700000001,113.161272,29.326,113.242
SDK-XJ_aa233d207e3d799fc348333e325cb5ef,29.384014,113.184814,29.364,113.176
SDK-XJ_1e4f87caaf7477a12b07e9cfd6a0d2d2,29.32535,113.242801,29.333,113.233
SDK-XJ_71813a5da3aa83c3346103f4c626f114,29.363925,113.171867,29.363,113.177
SDK-XJ_50af51a8fd4ad49a85d3605d4ae82b9c,29.368009000000004,113.119536,29.335,113.181
SDK-XJ_726294c4d2c914cd3a48d770eaf40160,29.371663,113.13283,29.326,113.24
SDK-XJ_15627ada4b1214099a7acf381c215b83,26.173301,118.337198,26.175,118.194
SDK-XJ_ce8ed3f79fa2f33657fd8b710810239a,26.187058,118.383773,26.166,118.178
SDK-XJ_b11ff21ddca356951b0e16f8a10299e0,26.166517,118.178188,26.167,118.195
SDK-XJ_afa50bda7fdc3e46e410e437d5727d59,26.18722600000001,118.383799,26.187,118.384
SDK-XJ_06738925bbb4d2db2e5b7e4c445ec898,26.177989,118.207001,26.178,118.207
SDK-XJ_10f6a49b2181606e91a4f43b8949237e,26.187118,118.38371,26.166,118.178
SDK-XJ_860e5f037d3dcdb819c5bcdc82dfce6e,26.18711,118.383738,26.17,118.34
